0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
13.19,11.61,19.31,19.71,10.15,18.19,12.21,15.5,17.56,19.19,13.71,11.6,18.32,13.65,15.0,12.03,10.55,15.4
11.54,14.79,18.34,11.94,16.1,16.11,11.88,12.08,19.67,19.71,16.5,10.35,17.35,13.34,12.6,14.66,19.72,17.74
12.06,19.16,15.36,18.13,11.39,18.9,10.21,11.54,19.03,16.64,12.31,15.81,18.2,19.35,16.39,18.98,17.97,18.16
14.68,12.21,18.06,13.07,18.68,14.01,10.49,18.37,15.25,14.04,13.81,19.57,13.6,19.72,15.53,19.57,10.45,11.98
13.6,15.73,13.43,14.17,11.15,19.5,17.23,10.0,12.61,19.14,12.17,14.89,11.06,14.75,17.35,15.19,13.15,14.14
10.7,19.05,13.48,18.85,15.87,11.87,11.1,12.87,13.72,12.73,12.59,17.77,15.71,16.32,17.81,12.63,15.26,16.23
18.05,18.89,11.48,19.42,10.77,12.63,13.37,13.11,17.09,15.21,14.9,17.09,18.95,14.54,18.32,11.87,13.59,16.76
11.11,17.47,13.63,13.93,19.56,10.56,18.29,11.98,10.45,11.31,10.33,17.35,13.96,16.96,19.92,17.76,19.14,13.71
14.9,16.93,15.68,18.76,19.76,17.92,18.27,11.27,13.42,19.24,13.26,12.93,19.38,17.8,16.05,17.47,18.65,13.24
13.58,10.49,10.51,18.85,10.19,12.86,18.9,18.22,16.04,18.99,10.93,10.03,17.12,12.76,13.03,17.0,11.08,19.49
